title,rating,year,actors,languages,runtime,url
The Great Escape,8.2,1963,Steve McQueen; James Garner; Richard Attenborough; Charles Bronson,English;German;French;Russian;Spanish,172,https://www.imdb.com//title/tt0057115/
Tengoku to jigoku,8.4,1963,Toshirô Mifune; Yutaka Sada; Tatsuya Nakadai; Kyôko Kagawa,Japanese,143,https://www.imdb.com//title/tt0057565/
8½,8.0,1963,Marcello Mastroianni; Anouk Aimée; Claudia Cardinale; Sandra Milo,Italian;French;English;German,138,https://www.imdb.com//title/tt0056801/
El verdugo,8.0,1963,Nino Manfredi; Emma Penella; José Isbert; José Luis López Vázquez,Spanish,87,https://www.imdb.com//title/tt0057643/
Nattvardsgästerna,8.1,1963,Ingrid Thulin; Gunnar Björnstrand; Gunnel Lindblom; Max von Sydow,Swedish,81,https://www.imdb.com//title/tt0057358/
Fail Safe,8.0,1964,Henry Fonda; Walter Matthau; Fritz Weaver; Dan O'Herlihy,English,112,https://www.imdb.com//title/tt0058083/
Charulata,8.1,1964,Soumitra Chatterjee; Madhavi Mukherjee; Shailen Mukherjee; Shyamal Ghoshal,Bengali;English,117,https://www.imdb.com//title/tt0057935/
Soy Cuba,8.2,1964,Sergio Corrieri; Salvador Wood; José Gallardo; Raúl García,Spanish;English,141,https://www.imdb.com//title/tt0058604/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,Peter Sellers; George C. Scott; Sterling Hayden; Keenan Wynn,English;Russian,95,https://www.imdb.com//title/tt0057012/
De vrouw in het zand,8.5,1964,Eiji Okada; Kyôko Kishida; Hiroko Itô; Kôji Mitsui,Japanese,147,https://www.imdb.com//title/tt0058625/
For a Few Dollars More,8.2,1965,Clint Eastwood; Lee Van Cleef; Gian Maria Volontè; Mara Krupp,Italian;English,132,https://www.imdb.com//title/tt0059578/
Akahige,8.3,1965,Toshirô Mifune; Yûzô Kayama; Tsutomu Yamazaki; Reiko Dan,Japanese,185,https://www.imdb.com//title/tt0058888/
Oorlog en Vrede,8.3,1965,Lyudmila Saveleva; Vyacheslav Tikhonov; Sergey Bondarchuk; Boris Zakhava,Russian;German;French,453,https://www.imdb.com//title/tt0063794/
Guide,8.4,1965,Dev Anand; Waheeda Rehman; Leela Chitnis; Anwar Hussain,Hindi,183,https://www.imdb.com//title/tt0059246/
